packageName,title,descriptionHtml,
at.rse.mytas,myTAS,"The myTAS App simplifies the mobile use of myTAS. With one click on your smartphone or tablet, the entire myTAS range of functions is available to you. Depending on your device, myTAS adapts fully responsive to the possible screen size. So you always get the optimal overview and enjoy the full myTAS function on all of your devices.The myTAS app offers the following functions:* Login to your myTAS account and use all licensed features.* myTAS push notifications for mobile devices* myTAS App offers the full range of functions as when logging into the web application* Responsive design for optimal display on mobile devices (smartphone, tablet)myTAS FUNCTIONS:* Visualization of your assets in different views.- myTAS dashboard- myTAS device overview- myTAS station details- myTAS pumping station visualization- myTAS view- myTAS map- myTAS SCADA* Analysis- myTAS events- myTAS multi-Charts- myTAS reports*AlarmingmyTAS active Alarm ListmyTAS alarm SuppressionmyTAS push NotificationsmyTAS duty rosters* Tools- myTAS document management- myTAS manual Input- myTAS FTP export- myTAS OPC-UA Interface* System configuration- myTAS remote maintenance- myTAS function monitoring- myTAS remote control- myTAS remote switching / parameter setting- myTAS administrator level with user and rights managementHIGHLIGHTSWith the RSE Service Portal myTAS you have always all information about your technical plants at a glance. Besides the simple administration, the retrieval of current plant statuses and their data evaluation (diagrams, reporting), the myTAS portal solves the remote maintenance access as well as the remote-control networking of your plants.As a special highlight, myTAS offers comprehensive data evaluation options in the form of charts as well as a configurable reporting system.With myTAS SCADA, customer-specific plant visualizations are implemented in 100% web technology with graphical plant views. The myTAS SCADA has a variety of functions, such as switching of telecontrol contacts, alarm lists and diagrams. In addition to myTAS SCADA, myTAS Views, the myTAS Dashboard and other detailed views are available for visualizing plant data. By logging into the myTAS App, our numerous functions are available to you, making it much easier for you to work with your plants.SYSTEM REQUIREMENTS* myTAS account* myTAS is available in the versions Free, Remote Maintenance, Basic and Professional.* Depending on the license, the respective range of functions is available to you.TERMS OF USEThe use of this application is subject to the General Terms and Conditions of RSE Informationstechnologie GmbH https://www.rse.at/de/agb and the Privacy Policy https://www.rse.at/de/datenschutzerklaerung.",
automation.tpcodl.automation_tpcodl,Automation-TPCODL,This app allows user to access the SCADA Web Server.,
br.com.kron.kron_fi,Kron-Fi,"O Kron-Fi é uma ferramenta que permite ler e configurar os medidores da KRON, que possuem o módulo Wi-Fi, que trabalham com o protocolo ModBus TCP.Tendo como funções leituras instantâneas das grandezas elétricas, configurar os parâmetros elétricos e configurar as grandezas que serão enviadas pelo medidor para a nuvem (IoT).",
br.com.superview.mobile.lite,SuperView Mobile,"SuperView Mobile is a SCADA solution focused on users that desire remote supervision of its industrial process using Smartphones and Tablets as easy they do using SuperView SCADA for PC. Main features:- User authentication- Audit Trail- Multiple supervision application- Connections, Tags, Screens, Alarms and Formulae- Alarm acknowledgement- List and Trend Chart Screen- Configuration Wizard- Alarms integrated to Android notification system- Runtime performance and information about the project- Protocol Modbus TCP (WiFi, 3G, GPRS, etc)- Automatic updates with Android MarketThis version allows to create applications with 5 Tags for FREE! Upgrade to version PRO directly from the app and use an unlimited number of Tags!",
brownson.ipsviewandroid,IPSView,"IPSView ist eine alternative Visualisierung für die Gebäudeautomatisierungs-Software IP-Symcon. Zusammen mit dem IPSView Designer bietet die Software die Möglichkeit, individuelle Oberflächen für Ihre Gebäudeautomatisierung zu erstellen sowie schnell und komfortabel auf alle Geräte und Komponenten Ihres Gebäudes zuzugreifen.Steuern Sie alle von IP-Symcon unterstützten Systeme wie EIB/KNX, LCN, digitalSTROM, EnOcean, eq3 HomeMatic, Eaton Xcomfort, Z-Wave, M-Bus, ModBus (z.B. WAGO SPS/Beckhoff SPS), Siemens OZW, diverse ALLNET-Geräte und viele weitere Systeme über eine einzige Oberfläche. Eine vollständige Liste können Sie hier einsehen: http://www.ip-symcon.de/produkt/hardware/Die Funktionen im Überblick:- Schneller Zugriff durch minimale Datenübertragung- Authentifizierung über Benutzername und Passwort (IP-Symcon RPC API)- Eigener Designer für die freie Gestaltung Ihrer Visualisierung- Unterstützung einer Vielzahl an Steuerelementen (Buttons, Schalter, HTMLBox, Images, ...)- Einfache Möglichkeit zum Gestalten von Grundrissplänen- Unabhängig von den internen IP-Symcon-Profilen- Möglichkeit zum Anlegen beliebig vieler Tabs für Ihre mobile Oberfläche- Unterstützung aller in IP-Symcon verfügbaren Systeme- Anzeige von in IP-Symcon eingerichteten Media-Dateien (z.B. Webcam-Bilder)- Universal-App für iPad, iPhone und iPod TouchDiese App erfordert die Installation eines IP-Symcon-Server-Systems (http://www.ip-symcon.de) mit IP-Symcon Basic, IP-Symcon Professional oder IP-Symcon Unlimited in der Version 3.1 oder höher und die Installation des IPSView Designers (http://ipsview.brownson.at) in der Version 1.0 oder höher. Zusätzlich muss die entsprechende Hardware der Gebäudeautomation installiert sein. Jegliche Kategorien, Variablen und Geräte, die auf den Abbildungen in der Dokumentation zu sehen sind, zeigen ein Beispielprojekt (ein typisches Einfamilienhaus). Das Aussehen Ihrer IPSView-Oberflächen gestalten Sie individuell anhand der Konfiguration Ihres IP-Symcon-Serversystems mithilfe des IPSView Designers. Bitte beachten Sie dazu die Dokumentation zu IP-Symcon und IPSView.",
com.aquas.aqnet,AQNET,"Aquas Inc. Taiwan based Manufacturer of multiparameter sensors,wireless controller and data logger cloud-based SCADA and artificial intelligence management systems, used in stormwater drainage, municipal water, wastewater, industrial water, commercial water, medical water, surface water, groundwater, agriculture, fishery...etc, at thousands of sites across the globe. Our products are all designed for accuracy, reliability, flexibility, ease of use and low maintenance. All manufacturing processes follows the highest industrial standards and certificated by ISO9001. With more than 20 years experiences and tens of thousands systems installed in cities around the world, AQUAS has created a truly unique suite of field proven technologies that are unmatched in the industry including ultra low power consumption, battery powered, rugged and all-weather, plug-and-play sensors, real-time telemetry systems, cloud-based management servers, machine learning and artificial intelligence systems. With sales partners and technical centers in over 50 countries, Aquas commits to provide the best services and support to all customers around the world.",
com.arcinfo.migelo,SnapVue,"The use of SnapVue requires:- Prior acceptance and respect of the General Conditions of Use available at https://www.pcvuesolutions.com/policies/SnapVue_GCU_en-US_20210112.pdf- The access to a PcVue server you hostDemo area: https://www.pcvuesolutions.com/index.php?option=com_content&amp;view=article&amp;id=680SnapVue is an extension of the mobile user.It automatically displays relevant information and gives the control on nearby devices using geo-tags and mobile technologies. The user can monitor values/status and control the device.No need to navigate through menus, the relevant information is automatically displayed as you move.Using GPS coordinates, the SnapVue app provides a dynamic HMI that changes as the worker moves through workplace areas, automatically adjusting to job responsibility. In a plant scenario, such a system is aware which floor a worker is on and automatically sends the status and controls of equipment in that worker’s proximity.It is a very pro-active approach that is recognized to improve the efficiency of commissioning, operation and maintenance of automation systems.Many benefits are realized with the mobility infrastructure and the SnapVue app. These include benefits to all users and benefits specific to certain worker responsibilities. There is also benefit to the entire organization in safety, security, comfort and efficiency.FEATURES- Indoor/Outdoor geolocation using IPS - Bluetooth Low Energy Beacons, QR codes, NFC tags, Wi-Fi access points - and GPS allowing the management of mobile maintenance teams and devices.- Automatic contextual information &amp; controls and proximity services- Graphical HMI on mobile devices- Real time values display &amp; control- Alarms &amp; events management - Trends visualization enabling awareness anytime anywhere- Access to resources: audio, video, user manuals, documents in general etc.- Attach a text, image, video, voice message to a location- Open a chat with the control room or other mobile users- Asset tracking",
com.aveva.indusoft.mobileaccess,Mobile Access,"Mobile Access allows you to securely view information and interact with your HMI and SCADA applications.  The Mobile Access app connects to a Mobile Access server hosted by your HMI and SCADA applications.  Using your HMI and SCADA application development platform, developers can develop screens, useful widgets, and animations that can be deployed to mobile devices.  Benefits to using the Mobile Access app include:Efficiency: Being able to securely access a machine remotely or view dashboards across a plant floor gives machine operators and process managers a chance to make adjustments even when they&#39;re not able to be physically at the machine. This may include stopping a machine when certain values are not met, or knowing at a glance whether or not an entire plant is operating at the expected levels. A mobile SCADA solution is particularly valuable to anyone with remote facilities in hard-to-access places.Preventive care: A mobile solution can not only make things more efficient, it can also help guard against disaster. If machine operators and managers are notified of problems immediately wherever they are, it&#39;s possible to take action before product is wasted, or the machine is damaged. Regular alerts can also let users know when it is time to perform preventive maintenance on machines such as lubrication or filter replacement.Acknowledge alarms and maintain traceability: You can monitor the active alarms and acknowledge them from the mobile device.  Some regulations, such as FDA 21 CFR Part 11, require that alarms be acknowledged and traced to the user who acknowledged them.The Mobile Access app requires that the Mobile Access server be version 8.1 SP2 or later.  If you are using an earlier version, then please contact your software provider for instructions on how to install a patch to your Mobile Access server so that it can support the Mobile Access app.",
com.aveva.mobileoperations,AVEVA Mobile Operations,The App makes it easy to connect to InTouch Web Client from a mobile device.,
com.carel.gasdetectapp,Rileva,"RILEVA, the app for interacting with the new CAREL GLD series Gas Detector, equipped with Bluetooth technology.RILEVA considerably simplifies configuration and maintenance, as well as interfacing to the latest CAREL Gas Detector models. The use of a smartphone instead of a PC and/or serial converter makes daily functional checks more user-friendly and easy to perform.Furthermore, RILEVA makes testing and calibration faster and effortless, with the focus on saving time.Features include:• Configuration (rename device, define alarm thresholds, change Modbus settings, configure relay behaviour and manage analogue output settings.)• Maintenance (test LED/buzzer operation, relays and analogue output level.)• Calibration (view sensor type, serial number and “Calibration Due” timer and initiate zero/span calibrations with customisable field calibration certificate.)• Intuitive interface (view current gas measurement and acknowledge alarm/fault status.)",
